| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
| Madapu ginja                                                                           | 1422.56   | 340         | 22.4   | 20.2      | 18.8  | 0           | 0       |
| Phutka chattoo                                                                         | 313.8     | 75          | 14.1   | 3.9       | 0.4   | 0           | 0       |
| Nisorha flowers                                                                        | 255.22    | 61          | 9.3    | 4.7       | 0.5   | 0           | 3.3     |
| Rhubarb stalks                                                                         | 108.78    | 26          | 4.3    | 1.1       | 0.5   | 0           | 0.3     |
| Sanga ka phal                                                                          | 414.22    | 99          | 23.1   | 1.5       | 0.1   | 0           | 1       |
| Sannhemp flowers                                                                       | 276.14    | 66          | 10.4   | 4.8       | 0.6   | 0           | 3.9     |
| Sea weeds, fresh                                                                       | 83.68     | 20          | 3.7    | 0.8       | 0.2   | 0           | 0.3     |
| Sea weeds, dry                                                                         | 1066.92   | 255         | 51.2   | 10.8      | 0.8   | 0           | 5       |
| Silk cotton flowers                                                                    | 196.65    | 47          | 9.5    | 1.5       | 0.3   | 0           | 1.6     |
| Tetralobar bean                                                                        | 125.52    | 30          | 4.8    | 1.9       | 0.4   | 0           | 1.8     |
| Water lily flowers                                                                     | 138.07    | 33          | 5.4    | 1.6       | 0.6   | 0           | 0.9     |
| Curly kale, raw                                                                        | 140       | 33          | 1.4    | 3.4       | 1.6   | 1.3         | 0       |
| Tomatoes, cherry, raw                                                                  | 94        | 22          | 3.6    | 1.1       | 0.5   | 3.6         | 1.3     |
| Sweetcorn, kernels, raw                                                                | 254       | 60          | 8.1    | 3.4       | 1.8   | 2           | 0       |
| Olives, green, in brine, drained, flesh and skin                                       | 422       | 103         | 0      | 0.9       | 11    | 0           | 0       |
| Gherkins, pickled, drained                                                             | 61        | 14          | 2.6    | 0.9       | 0.1   | 2.4         | 1.5     |
| Pickle, sweet                                                                          | 476       | 111         | 28     | 0.6       | 0.1   | 24.6        | 1.2     |
| PITTED BLACK OLIVES                                                                    | 556.47    | 133         | 6.67   | 0         | 13.33 | 0           | 0       |
| Beans, broad, whole, raw                                                               | 247       | 59          | 7.2    | 5.7       | 1     | 1.3         | 0       |
| Apple, big (Malus domestica)                                                           | 261       | 62.38       | 13.11  | 0.29      | 0.64  | 9.53        | 2.59    |
| Apple, green (Malus domestica)                                                         | 214       | 51.15       | 10.65  | 0.46      | 0.5   | 8.39        | 2.54    |
| Apple, small (Malus domestica)                                                         | 267       | 63.81       | 13.95  | 0.31      | 0.53  | 9.8         | 2.06    |
| Apple, small, Kashmir (Malus domestica)                                                | 269       | 64.29       | 13.99  | 0.27      | 0.6   | 9.15        | 2.07    |
| Apricot, dried (Prunus armeniaca)                                                      | 1321      | 315.72      | 72.63  | 3.17      | 0.74  | 25.72       | 3.32    |
| Apricot, processed (Prunus armeniaca)                                                  | 236       | 56.4        | 10.93  | 1.47      | 0.64  | 4.36        | 0.59    |
| Avocado fruit (Persea sp.)                                                             | 604       | 144.36      | 1.75   | 2.95      | 13.86 | 1.65        | 6.69    |
| Bael fruit (Aegle marmelos)                                                            | 569       | 135.99      | 28.21  | 2.63      | 0.57  | 16.35       | 6.31    |
| Banana, ripe, montham (Musa x paradisiaca)                                             | 463       | 110.66      | 24.95  | 1.25      | 0.32  | 14.9        | 2.21    |
| Banana, ripe, poovam (Musa x paradisiaca)                                              | 445       | 106.36      | 23.41  | 1.49      | 0.35  | 12.54       | 2.33    |
| Banana, ripe, red (Musa x paradisiaca)                                                 | 467       | 111.61      | 25.21  | 1.29      | 0.29  | 14.57       | 1.98    |
| Banana, ripe, robusta (Musa x paradisiaca)                                             | 440       | 105.16      | 23.63  | 1.23      | 0.33  | 13.65       | 1.94    |
| Black berry (Rubus sp.)                                                                | 227       | 54.25       | 10.64  | 0.92      | 0.63  | 7.61        | 4.35    |
| Cherries, red (Prunus cerasus)                                                         | 250       | 59.75       | 11.87  | 1.49      | 0.46  | 10.72       | 2.12    |
| Currants, black (Ribes nigrum)                                                         | 227       | 54.25       | 9.93   | 1.51      | 0.53  | 6.33        | 4.07    |
| Custard apple (Annona squamosa)                                                        | 414       | 98.95       | 20.38  | 1.62      | 0.67  | 13.35       | 5.1     |
| Dates, dry, pale brown (Phoenix dactylifera)                                           | 1340      | 320.26      | 74.91  | 2.45      | 0.35  | 66.63       | 8.95    |
| Dates, dry, dark brown (Phoenix dactylifera)                                           | 1301      | 310.94      | 72.67  | 2.38      | 0.35  | 68.84       | 9.1     |
| Dates, processed (Phoenix dactylifera)                                                 | 1197      | 286.08      | 67.95  | 1.18      | 0.41  | 56.96       | 6.52    |
| Fig (Ficus carica)                                                                     | 341       | 81.5        | 16.28  | 2.03      | 0.37  | 8.64        | 4.64    |
| Goosberry (Emblica officinalis)                                                        | 99        | 23.66       | 4.39   | 0.34      | 0.16  | 3.39        | 7.75    |
| Grapes, seeded, round, black (Vitis vinifera)                                          | 254       | 60.71       | 13.23  | 0.76      | 0.32  | 10.02       | 1.35    |
| Grapes, seeded, round, green (Vitis vinifera)                                          | 235       | 56.17       | 12.19  | 0.77      | 0.29  | 9.59        | 1.25    |
| Grapes, seeded, round, red (Vitis vinifera)                                            | 244       | 58.32       | 12.55  | 0.95      | 0.29  | 10.47       | 1.28    |
| Grapes, seedless, oval, black (Vitis vinifera)                                         | 395       | 94.41       | 20.48  | 1.41      | 0.46  | 9.19        | 1.64    |
| Grapes, seedless, round, green (Vitis vinifera)                                        | 224       | 53.54       | 11.81  | 0.62      | 0.26  | 9.6         | 1.28    |
| Grapes, seedless, round, black (Vitis vinifera)                                        | 374       | 89.39       | 19.86  | 1.24      | 0.35  | 10.88       | 1.15    |
| Guava, white flesh (Psidium guajava)                                                   | 135       | 32.27       | 5.13   | 1.44      | 0.32  | 4.1         | 8.59    |
| Guava, pink flesh (Psidium guajava)                                                    | 195       | 46.61       | 9.14   | 1.19      | 0.25  | 7.79        | 7.39    |
| Jack fruit, ripe (Artocarpus heterophyllus)                                            | 302       | 72.18       | 14.01  | 2.74      | 0.15  | 12.21       | 3.62    |
| Jambu fruit, ripe (Syzygium samarangense)                                              | 235       | 56.17       | 12.3   | 0.82      | 0.17  | 6.84        | 3.07    |
| Karonda fruit (Carissa carandas)                                                       | 141       | 33.7        | 2.87   | 1.15      | 1.67  | 1.75        | 7.25    |
| Lemon, juice (Citrus limon)                                                            | 153       | 36.57       | 6.97   | 0.41      | 0.75  | 2.59        | 0       |
| Lime, sweet,pulp (Citrus limetta)                                                      | 114       | 27.25       | 5.18   | 0.76      | 0.2   | 3.42        | 2.07    |
| Litchi (Nephelium litchi)                                                              | 225       | 53.78       | 11.41  | 0.99      | 0.26  | 9.3         | 1.34    |
| Mango, ripe, banganapalli (Mangifera indica)                                           | 175       | 41.83       | 8.18   | 0.54      | 0.55  | 7.77        | 1.88    |
| Mango, ripe, gulabkhas (Mangifera indica)                                              | 209       | 49.95       | 10.32  | 0.52      | 0.53  | 8.13        | 1.67    |
| Mango, ripe, himsagar (Mangifera indica)                                               | 187       | 44.69       | 9.03   | 0.46      | 0.54  | 8.06        | 1.55    |
| Mango, ripe, kesar (Mangifera indica)                                                  | 231       | 55.21       | 11.36  | 0.54      | 0.57  | 9           | 2.02    |
| Mango, ripe, neelam (Mangifera indica)                                                 | 178       | 42.54       | 8.21   | 0.68      | 0.55  | 7.94        | 1.77    |
| Mango, ripe, paheri (Mangifera indica)                                                 | 188       | 44.93       | 8.67   | 0.68      | 0.58  | 8.48        | 1.97    |
| Mango, ripe, totapari (Mangifera indica)                                               | 248       | 59.27       | 12.75  | 0.41      | 0.49  | 9.24        | 1.73    |
| Mangosteen (Garcinia mangostana)                                                       | 219       | 52.34       | 11.41  | 0.63      | 0.24  | 8.91        | 1.87    |
| Manila tamarind (Pithecellobium dulce)                                                 | 342       | 81.74       | 13.54  | 3.56      | 1.14  | 12.13       | 4.4     |
| Musk melon, orange flesh (Cucumis melon)                                               | 97        | 23.18       | 4.24   | 0.42      | 0.35  | 2.99        | 1.51    |
| Musk melon, yellow flesh (Cucumis melon)                                               | 116       | 27.72       | 5.4    | 0.53      | 0.26  | 2.36        | 1.49    |
| Orange, pulp (Citrus aurantium)                                                        | 156       | 37.28       | 7.92   | 0.7       | 0.13  | 6.86        | 1.29    |
| Palm fruit, tender (Borassus flabellifer)                                              | 101       | 24.14       | 4.92   | 0.5       | 0.12  | 0.19        | 2.4     |
| Papaya, ripe (Carcia papaya)                                                           | 100       | 23.9        | 4.61   | 0.42      | 0.16  | 4.09        | 2.83    |
| Peach (Prunus communis)                                                                | 168       | 40.15       | 7.82   | 0.86      | 0.37  | 6.95        | 2.13    |
| Pear (Pyrus sp.)                                                                       | 157       | 37.52       | 8.09   | 0.36      | 0.27  | 7.39        | 4.48    |
| Phalsa (Grewia asiatica)                                                               | 299       | 71.46       | 15.09  | 1.66      | 0.14  | 13          | 4.54    |
| Pineapple (Ananas comosus)                                                             | 180       | 43.02       | 9.42   | 0.52      | 0.16  | 8.56        | 3.46    |
| Plum (Prunus domestica)                                                                | 238       | 56.88       | 12.1   | 0.64      | 0.4   | 10.13       | 2.07    |
| Pomegranate, maroon seeds (Punica granatum)                                            | 229       | 54.73       | 11.58  | 1.33      | 0.15  | 10.87       | 2.83    |
| Pummelo (Citrus maxima)                                                                | 210       | 50.19       | 10.64  | 0.68      | 0.42  | 4.38        | 0.8     |
| Raisins, dried, black (Vitis vinifera)                                                 | 1279      | 305.68      | 71.29  | 2.57      | 0.34  | 61.51       | 3.92    |
| Raisins, dried, golden (Vitis vinifera)                                                | 1241      | 296.6       | 68.79  | 2.76      | 0.35  | 57.12       | 4.56    |
| Rambutan (Nephelium lappaceum)                                                         | 306       | 73.13       | 16.84  | 0.68      | 0.16  | 15.8        | 1.02    |
| Sapota (Achras sapota)                                                                 | 307       | 73.37       | 13.9   | 0.92      | 1.26  | 12.3        | 9.6     |
| Soursop (Annona muricata)                                                              | 260       | 62.14       | 11.94  | 0.74      | 0.94  | 9.83        | 4.95    |
| Star fruit (Averrhoa carambola)                                                        | 110       | 26.29       | 4.51   | 0.79      | 0.39  | 3.95        | 2.81    |
| Strawberry (Fragaria x ananassa)                                                       | 103       | 24.62       | 3.4    | 0.97      | 0.56  | 3.56        | 2.5     |
| Tamarind, pulp (Tamarindus indica)                                                     | 1207      | 288.47      | 67.35  | 2.92      | 0.15  | 52.88       | 5.31    |
| Water melon, dark green (sugar baby) (Citrullus vulgaris)                              | 85        | 20.32       | 3.86   | 0.6       | 0.16  | 3.66        | 0.7     |
| Water melon, pale green (Citrullus vulgaris)                                           | 70        | 16.73       | 3.02   | 0.59      | 0.16  | 3           | 0.78    |
| Wood Apple (Limonia acidissima)                                                        | 327       | 78.15       | 7.52   | 3.14      | 3.62  | 3.81        | 5.21    |
| Zizyphus (Zizyphus jujube)                                                             | 204       | 48.76       | 9.4    | 1.34      | 0.35  | 8.29        | 3.73    |
| Ambada                                                                                 | 200.83    | 48          | 4.5    | 0.7       | 3     | 0           | 1       |
| Amla                                                                                   | 242.67    | 58          | 13.7   | 0.5       | 0.1   | 0           | 3.4     |
| Avocado pear                                                                           | 899.56    | 215         | 0.8    | 1.7       | 22.8  | 0           | 0       |
| Banyan tree figs                                                                       | 301.25    | 72          | 11.8   | 1.7       | 2     | 0           | 8.5     |
| Bilimbi                                                                                | 79.5      | 19          | 3.5    | 0.5       | 0.3   | 0           | 1       |
| Bread fruit                                                                            | 297.06    | 71          | 15.8   | 1.5       | 0.2   | 0           | 2.1     |
| Bullock's heart                                                                        | 292.88    | 70          | 15.7   | 1.4       | 0.2   | 0           | 5.2     |
| Cape gooseberry                                                                        | 221.75    | 53          | 11.1   | 1.8       | 0.2   | 0           | 3.2     |
| Grapes blue variety                                                                    | 242.67    | 58          | 13.1   | 0.6       | 0.4   | 0           | 2.8     |
| Grapes pale green variety                                                              | 297.06    | 71          | 16.5   | 0.5       | 0.3   | 0           | 2.9     |
| Grape fruit marsh's seedless                                                           | 188.28    | 45          | 10     | 1         | 0.1   | 0           | 0       |
| Grape fruit triumph                                                                    | 133.89    | 32          | 7      | 0.7       | 0.1   | 0           | 0       |
| Guava, country                                                                         | 213.38    | 51          | 11.2   | 0.9       | 0.3   | 0           | 5.2     |
| Guava, hill                                                                            | 158.99    | 38          | 9      | 0.1       | 0.2   | 0           | 4.8     |
| Harfarowrie                                                                            | 133.89    | 32          | 5.9    | 0.7       | 0.6   | 0           | 1.1     |
| Jamb, safed                                                                            | 79.5      | 19          | 3.7    | 0.1       | 0.4   | 0           | 2.2     |
| Korukkapalli                                                                           | 326.35    | 78          | 16     | 2.7       | 0.4   | 0           | 1       |
| Lakuch                                                                                 | 276.14    | 66          | 13.3   | 0.7       | 1.1   | 0           | 2       |
| Lemon                                                                                  | 238.49    | 57          | 11.1   | 1         | 0.9   | 0           | 1.7     |
| Lemon sweet                                                                            | 146.44    | 35          | 7.3    | 0.7       | 0.3   | 0           | 0.7     |
| Lichies, bastard                                                                       | 255.22    | 61          | 13.1   | 1.4       | 0.3   | 0           | 0.5     |
| Lime                                                                                   | 246.86    | 59          | 10.9   | 1.5       | 1     | 0           | 1.3     |
| Loquat                                                                                 | 179.91    | 43          | 9.6    | 0.6       | 0.3   | 0           | 0.8     |
| Mahua, ripe                                                                            | 464.42    | 111         | 22.7   | 1.4       | 1.6   | 0           | 0       |
| Mulberry                                                                               | 205.02    | 49          | 10.3   | 1.1       | 0.4   | 0           | 1.1     |
| Orange juice                                                                           | 37.66     | 9           | 1.9    | 0.2       | 0.1   | 0           | 0       |
| Palmyra fruit ripe (mesocarp)                                                          | 364.01    | 87          | 20.7   | 0.7       | 0.2   | 0           | 0.5     |
| Palmyra fruit tender                                                                   | 121.34    | 29          | 6.5    | 0.6       | 0.1   | 0           | 0.3     |
| Passion fruit                                                                          | 225.94    | 54          | 12.4   | 0.9       | 0.1   | 0           | 9.6     |
| Passion fruit juice                                                                    | 154.81    | 37          | 7.7    | 1.2       | 0.2   | 0           | 1.2     |
| Persimmon                                                                              | 317.98    | 76          | 17.9   | 0.7       | 0.2   | 0           | 0.9     |
| Prunes                                                                                 | 234.3     | 56          | 12.8   | 0.5       | 0.3   | 0           | 0.5     |
| Quince                                                                                 | 209.2     | 50          | 11.9   | 0.3       | 0.1   | 0           | 1.7     |
| Raspberry                                                                              | 234.3     | 56          | 11.7   | 1         | 0.6   | 0           | 1       |
| Rose apple                                                                             | 163.18    | 39          | 8.5    | 0.7       | 0.2   | 0           | 1.2     |
| Tomatillo                                                                              | 129.7     | 31          | 5.8    | 0.7       | 0.6   | 0           | 0.6     |
| Tree tomato                                                                            | 146.44    | 35          | 6.7    | 1.5       | 0.2   | 0           | 4.2     |
| Baincha                                                                                | 476.98    | 114         | 22.7   | 1.7       | 1.8   | 0           | 4.7     |
| Bamboo fruit                                                                           | 640.15    | 153         | 34.2   | 3.9       | 0.1   | 0           | 3.9     |
| Blackberry                                                                             | 154.81    | 37          | 6.7    | 1.3       | 0.5   | 0           | 3.8     |
| Borooee                                                                                | 338.9     | 81          | 17.6   | 2         | 0.3   | 0           | 4.7     |
| Carambola                                                                              | 117.15    | 28          | 6.1    | 0.7       | 0.1   | 0           | 0.8     |
| Cherimoyer                                                                             | 372.38    | 89          | 20.2   | 1.3       | 0.3   | 0           | 1.5     |
| Durian                                                                                 | 765.67    | 183         | 34.1   | 2.8       | 3.9   | 0           | 0       |
| Gab                                                                                    | 472.79    | 113         | 26.6   | 1.4       | 0.1   | 0           | 1.5     |
| Jurmata                                                                                | 815.88    | 195         | 43.3   | 4.8       | 0.3   | 0           | 3.4     |
| Kesaur                                                                                 | 313.8     | 75          | 17     | 1.6       | 0.1   | 0           | 0.6     |
| Kila pazham                                                                            | 230.12    | 55          | 11.5   | 0.8       | 0.6   | 0           | 7.3     |
| Kusum fruits                                                                           | 221.75    | 53          | 9.9    | 1.5       | 0.8   | 0           | 0.6     |
| Langsat                                                                                | 184.1     | 44          | 9.5    | 0.8       | 0.3   | 0           | 2.3     |
| Matasura, whole fruit                                                                  | 246.86    | 59          | 10.6   | 1.9       | 1     | 0           | 13.1    |
| Matasura, skin and pulp                                                                | 251.04    | 60          | 9.1    | 2.3       | 1.6   | 0           | 1.7     |
| Mulchari                                                                               | 669.44    | 160         | 35.9   | 1.8       | 1     | 0           | 4.3     |
| Neem fruit                                                                             | 313.8     | 75          | 15.1   | 1.3       | 1     | 0           | 0       |
| Nisorha                                                                                | 271.96    | 65          | 12.2   | 1.8       | 1     | 0           | 0.3     |
| Paniyala                                                                               | 347.27    | 83          | 19.9   | 0.5       | 0.1   | 0           | 1       |
| Papa                                                                                   | 761.49    | 182         | 34.9   | 3.7       | 3.1   | 0           | 9.5     |
| Perar                                                                                  | 234.3     | 56          | 12.5   | 1         | 0.2   | 0           | 3.9     |
| Pipal tree figs                                                                        | 460.24    | 110         | 21.2   | 2.5       | 1.7   | 0           | 9.9     |
| Piyal                                                                                  | 393.3     | 94          | 19.5   | 2.2       | 0.8   | 0           | 1.5     |
| Rayan                                                                                  | 560.66    | 134         | 27.7   | 0.5       | 2.4   | 0           | 0       |
| Sirk                                                                                   | 661.07    | 158         | 33.3   | 3.2       | 1.3   | 0           | 4.9     |
| Star apple                                                                             | 117.15    | 28          | 6.3    | 0.3       | 0.2   | 0           | 1       |
| Thavittu pazham                                                                        | 196.65    | 47          | 10.7   | 0.6       | 0.2   | 0           | 5.6     |
| Tumki                                                                                  | 468.61    | 112         | 26.8   | 0.8       | 0.2   | 0           | 0.8     |
| Vikki pazham                                                                           | 640.15    | 153         | 36.2   | 1.4       | 0.1   | 0           | 1.6     |
| Blueberries                                                                            | 169       | 40          | 9.1    | 0.9       | 0.2   | 9.1         | 1.5     |
| Cranberries                                                                            | 65        | 15          | 3.4    | 0.4       | 0.1   | 3.4         | 0       |
| Kiwi fruit, flesh only, raw                                                            | 185       | 44          | 8.6    | 0.8       | 0.9   | 8.3         | 2.7     |
| Bananas, raw, flesh only, weighed with skin                                            | 217       | 51          | 12.8   | 0.8       | 0     | 11.4        | 0.9     |
| Cherries, West Indian, flesh only                                                      | 102       | 24          | 5      | 0.4       | 0.4   | 5           | 0       |
| Redcurrants, raw                                                                       | 89        | 21          | 4.4    | 1.1       | 0     | 4.4         | 0       |
| Sultanas                                                                               | 1171      | 275         | 69.4   | 2.7       | 0.4   | 69.4        | 0       |
| Amla                                                                                   | 243       | 58          | 13.7   | 0.5       | 0.1   | 0           | 0       |
| Peaches, canned in syrup, whole contents                                               | 233       | 55          | 14     | 0.5       | 0     | 14          | 0       |
| Pears, canned in juice, whole contents                                                 | 141       | 33          | 8.5    | 0.3       | 0     | 8.5         | 0       |
| Currants                                                                               | 1139      | 267         | 67.8   | 2.3       | 0.4   | 67.8        | 0       |
| Cherries, glace                                                                        | 1256      | 294         | 78.1   | 0.4       | 0     | 0           | 0       |
| Raspberries, raw                                                                       | 220       | 52          | 11.9   | 1.2       | 0.65  | 4.42        | 6.5     |
| DRIED MANGO                                                                            | 1464.4    | 350         | 85     | 0         | 0     | 67.5        | 2.5     |
| Gooseberries, raw                                                                      | 184.1     | 44          | 10.2   | 0.88      | 0.58  | 0           | 4.3     |
| Fruit cocktail, canned in juice, whole contents                                        | 194       | 45          | 11.7   | 0.4       | 0     | 11.7        | 0       |
| Orange juice, freshly squeezed                                                         | 140       | 33          | 8.1    | 0.6       | 0     | 8.1         | 0       |
| Lemons, flesh only, raw, weighed with peel and pips                                    | 38        | 9           | 1.4    | 0.5       | 0.2   | 1.4         | 0       |
| Beet root (Beta vulgaris)                                                              | 149       | 35.61       | 6.18   | 1.95      | 0.14  | 4.35        | 3.31    |
| Carrot, orange (Daucus carota)                                                         | 139       | 33.22       | 5.55   | 0.95      | 0.47  | 3.23        | 4.18    |
| Carrot, red (Daucus carota)                                                            | 160       | 38.24       | 6.71   | 1.04      | 0.47  | 3.96        | 4.49    |
| Colocasia (Colocasia esculenta)                                                        | 372       | 88.91       | 17.85  | 3.31      | 0.17  | 0.9         | 3.22    |
| Lotus root (Nelumbium nelumbo)                                                         | 332       | 79.35       | 14.67  | 1.94      | 0.93  | 0.24        | 4.7     |
| Potato, brown skin, big (Solanum tuberosum)                                            | 292       | 69.79       | 14.89  | 1.54      | 0.23  | 0.32        | 1.71    |
| Potato, brown skin, small (Solanum tuberosum)                                          | 255       | 60.95       | 12.9   | 1.35      | 0.22  | 0.44        | 1.69    |
| Potato, red skin (Solanum tuberosum)                                                   | 306       | 73.13       | 15.43  | 1.83      | 0.22  | 0.38        | 1.68    |
| Radish, elongate, red skin (Raphanus sativus)                                          | 134       | 32.03       | 6.71   | 0.67      | 0.13  | 1.15        | 2.46    |
| Radish, elongate, white skin (Raphanus sativus)                                        | 135       | 32.27       | 6.56   | 0.77      | 0.15  | 0.95        | 2.65    |
| Radish, round, red skin (Raphanus sativus)                                             | 130       | 31.07       | 6.07   | 0.89      | 0.16  | 0.86        | 2.29    |
| Radish, round, white skin (Raphanus sativus)                                           | 129       | 30.83       | 6.13   | 0.8       | 0.14  | 1.16        | 2.37    |
| Sweet potato, brown skin (Ipomoea batatas)                                             | 456       | 108.98      | 24.25  | 1.33      | 0.26  | 3.63        | 3.99    |
| Sweet potato, pink skin (Ipomoea batatas)                                              | 452       | 108.03      | 23.93  | 1.27      | 0.33  | 4.03        | 3.94    |
| Tapioca (Manihot esculenta)                                                            | 334       | 79.83       | 17.81  | 1.03      | 0.2   | 2.14        | 4.61    |
| Water Chestnut (Eleocharis dulcis)                                                     | 400       | 95.6        | 21.46  | 0.86      | 0.37  | 1.95        | 3.02    |
| Yam, elephant (Amorphophallus campanulatus)                                            | 353       | 84.37       | 17.46  | 2.56      | 0.14  | 1.58        | 4.17    |
| Yam, ordinary (Amorphophallus sp.)                                                     | 349       | 83.41       | 17.65  | 2.18      | 0.17  | 1.15        | 4.08    |
| Yam, wild (Dioscorea villosa)                                                          | 430       | 102.77      | 20.95  | 3.07      | 0.3   | 1.54        | 4.57    |
| Arrow root flour                                                                       | 1397.46   | 334         | 83.1   | 0.2       | 0.1   | 0           | 0       |
| Banana rhizome                                                                         | 213.38    | 51          | 11.8   | 0.4       | 0.2   | 0           | 1.1     |
| Khamalu                                                                                | 330.54    | 79          | 18.1   | 1.3       | 0.1   | 0           | 0.1     |
| Parsnip                                                                                | 422.58    | 101         | 23.2   | 1.3       | 0.3   | 0           | 1.7     |
| Radish pink                                                                            | 133.89    | 32          | 6.8    | 0.6       | 0.3   | 0           | 0.6     |
| Radish rat-tailed                                                                      | 104.6     | 25          | 4.3    | 1.3       | 0.3   | 0           | 1.1     |
| Radish table                                                                           | 66.94     | 16          | 3.2    | 0.5       | 0.1   | 0           | 0.6     |
| Tapioca chips dried                                                                    | 1414.19   | 338         | 82.6   | 1.3       | 0.3   | 0           | 1.8     |
| Turnip                                                                                 | 121.34    | 29          | 6.2    | 0.5       | 0.2   | 0           | 0.9     |
| Bokwa                                                                                  | 317.98    | 76          | 15.5   | 2.9       | 0.3   | 0           | 0.9     |
| Budhia                                                                                 | 527.18    | 126         | 29.9   | 0.7       | 0.4   | 0           | 1.6     |
| Bid root                                                                               | 849.35    | 203         | 47.9   | 2.1       | 0.3   | 0           | 0.9     |
| Canna, edible                                                                          | 435.14    | 104         | 24     | 1.1       | 0.4   | 0           | 0.5     |
| Chumbia                                                                                | 518.82    | 124         | 28.8   | 1.8       | 0.2   | 0           | 1.5     |
| Churkia                                                                                | 246.86    | 59          | 12.8   | 1.6       | 0.1   | 0           | 1.2     |
| Epidong sanga                                                                          | 71.13     | 17          | 1.7    | 2.2       | 0.2   | 0           | 2.7     |
| Garwar                                                                                 | 205.02    | 49          | 11.4   | 0.3       | 0.2   | 0           | 0       |
| Jipoo sanga                                                                            | 92.05     | 22          | 4.6    | 0.6       | 0.1   | 0           | 0.4     |
| Moor sanga                                                                             | 882.82    | 211         | 50     | 2.1       | 0.3   | 0           | 1.6     |
| Murum sanga                                                                            | 271.96    | 65          | 14.7   | 1.4       | 0.1   | 0           | 0.7     |
| Ochen sanga                                                                            | 154.81    | 37          | 7.6    | 1.5       | 0.1   | 0           | 1.1     |
| Song                                                                                   | 560.66    | 134         | 30.9   | 2.3       | 0.1   | 0           | 0.7     |
| Turum sanga                                                                            | 514.63    | 123         | 28     | 1.9       | 0.4   | 0           | 1.6     |
| Water lily, red                                                                        | 807.51    | 193         | 43.3   | 4.1       | 0.3   | 0           | 1.5     |
| Water lily, white                                                                      | 594.13    | 142         | 31.7   | 3.1       | 0.3   | 0           | 1.1     |
| Turnip, flesh only, raw                                                                | 98        | 23          | 4.7    | 0.9       | 0.3   | 4.5         | 0       |
| Chillies, green-1 (Capsicum annum)                                                     | 191       | 45.65       | 6.32   | 2.62      | 0.73  | 0.71        | 4.86    |
| Chillies, green-2 (Capsicum annum)                                                     | 167       | 39.91       | 5.27   | 2.28      | 0.75  | 1.05        | 5.13    |
| Chillies, green-3 (Capsicum annum)                                                     | 169       | 40.39       | 5.23   | 2.38      | 0.75  | 0.54        | 5.1     |
| Chillies, green-4 (Capsicum annum)                                                     | 190       | 45.41       | 6.63   | 2.33      | 0.74  | 0.62        | 4.15    |
| Chillies, green-5 (Capsicum annum)                                                     | 180       | 43.02       | 6.64   | 2.01      | 0.65  | 0.46        | 3.95    |
| Chillies, green-6 (Capsicum annum)                                                     | 175       | 41.83       | 5.31   | 3.01      | 0.64  | 0.59        | 5.15    |
| Chillies, green-7 (Capsicum annum)                                                     | 163       | 38.96       | 5.61   | 2.12      | 0.6   | 0.73        | 4.95    |
| Chillies, green - all varieties (Capsicum annum)                                       | 177       | 42.3        | 5.86   | 2.36      | 0.72  | 0.67        | 4.77    |
| Coriander leaves (Coriandrum sativum)                                                  | 130       | 31.07       | 1.93   | 3.52      | 0.7   | 0.17        | 4.66    |
| Curry leaves (Murraya koenigii)                                                        | 266       | 63.57       | 4.51   | 7.41      | 1.06  | 0.6         | 16.83   |
| Garlic, big clove (Allium sativum)                                                     | 518       | 123.8       | 21.93  | 6.92      | 0.16  | 5.97        | 5.22    |
| Garlic, small clove (Allium sativum)                                                   | 514       | 122.85      | 21.84  | 6.75      | 0.14  | 4.84        | 5.47    |
| Garlic, single clove, Kashmir (Allium sativum)                                         | 523       | 125         | 23.46  | 6.12      | 0.16  | 3.73        | 4.01    |
| Ginger, fresh (Zingiber officinale)                                                    | 230       | 54.97       | 8.97   | 2.22      | 0.85  | 1.31        | 5.36    |
| Mango ginger (Curcuma amada)                                                           | 177       | 42.3        | 6.98   | 1.45      | 0.7   | 2.42        | 4.74    |
| Mint leaves (Mentha spicata )                                                          | 155       | 37.05       | 2.39   | 4.66      | 0.65  | 0.08        | 5.89    |
| Onion, big (Allium cepa)                                                               | 201       | 48.04       | 9.56   | 1.5       | 0.24  | 5.88        | 2.45    |
| Onion, small (Allium cepa)                                                             | 237       | 56.64       | 11.58  | 1.82      | 0.16  | 5.62        | 1.16    |
| Asafoetida (Ferula assa-foetida)                                                       | 1387      | 331.49      | 71.95  | 6.34      | 1.26  | 0.93        | 5.13    |
| Cardamom, green (Elettaria cardamomum)                                                 | 1067      | 255.01      | 47.76  | 8.1       | 2.6   | 4.28        | 23.1    |
| Cardamom, black (Elettaria cardamomum)                                                 | 1132      | 270.55      | 52.53  | 6.69      | 2.8   | 2.3         | 23.46   |
| Chillies, red (Capsicum annum)                                                         | 990       | 236.61      | 29.46  | 12.69     | 6.4   | 4.7         | 31.15   |
| Cloves (Syzygium aromaticum)                                                           | 781       | 186.66      | 18.73  | 5.86      | 8.41  | 2.1         | 34.52   |
| Coriander seeds (Coriandrum sativum)                                                   | 1125      | 268.88      | 12.98  | 10.66     | 17.47 | 2.38        | 44.81   |
